report_id,request_id,factory_id,inspector_id,inspection_date,product_line,sku,sample_size,total_defects,critical_defects,major_defects,minor_defects,defect_details,result,remarks
RPT-2025-001,REQ-2025-001,FAC-CAYI-VN,INS-004,2025-12-13,Iceflow,SKU-IF-1L,125,4,0,0,4,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 2, ""severity"": ""minor""}]",Conditional,"Minor cosmetic issues, acceptable with rework"
RPT-2025-002,REQ-2025-002,FAC-FLYCUP,INS-006,2025-10-25,Iceflow,SKU-IF-500ML,200,12,0,2,10,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 3, ""severity"": ""minor""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 2, ""severity"": ""minor""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 7, ""severity"": ""minor""}]",Conditional,Slight dimension deviation within tolerance
RPT-2025-003,REQ-2025-003,FAC-GINT,INS-007,2025-10-07,Adventure,SKU-AD-750ML,125,2,0,0,2,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""功能异常"", ""type_key"": ""functional_failure"", ""count"": 1, ""severity"": ""minor""}]",Pass,
RPT-2026-004,REQ-2026-004,FAC-LISI,INS-005,2026-01-10,Iceflow,SKU-IF-500ML,200,21,0,4,17,"[{""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 19, ""severity"": ""minor""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 2, ""severity"": ""major""}]",Conditional,"Minor packaging damage, needs re-inspection after fix"
RPT-2026-005,REQ-2026-005,FAC-YKPHX,INS-003,2026-01-10,Classic,SKU-CL-350ML,200,4,0,1,3,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 2, ""severity"": ""major""}, {""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 2, ""severity"": ""minor""}]",Pass,
RPT-2026-006,REQ-2026-006,FAC-GINT,INS-001,2026-03-22,Iceflow,SKU-IF-500ML,200,1,0,0,1,"[{""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 1, ""severity"": ""minor""}]",Pass,
RPT-2025-007,REQ-2025-007,FAC-HAERS,INS-003,2025-11-14,Adventure,SKU-AD-750ML,200,7,0,2,5,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 4, ""severity"": ""minor""}, {""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 3, ""severity"": ""minor""}]",Pass,
RPT-2025-008,REQ-2025-008,FAC-ANSHENG,INS-003,2025-12-03,Classic,SKU-CL-750ML,200,8,0,1,7,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 5, ""severity"": ""minor""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 2, ""severity"": ""major""}]",Pass,
RPT-2025-009,REQ-2025-009,FAC-LISI,INS-005,2025-10-10,Iceflow,SKU-IF-500ML,125,11,0,2,9,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 1, ""severity"": ""critical""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 9, ""severity"": ""major""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 1, ""severity"": ""major""}]",Fail,"Vacuum leak detected, batch rejected"
RPT-2025-010,REQ-2025-010,FAC-YKPHX,INS-007,2025-11-09,Adventure,SKU-AD-750ML,200,11,0,3,8,"[{""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 10, ""severity"": ""major""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 1, ""severity"": ""major""}]",Pass,
RPT-2025-011,REQ-2025-011,FAC-FLYCUP,INS-006,2025-11-10,Quencher,SKU-QC-600ML,200,7,0,1,6,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 2, ""severity"": ""minor""}, {""type"": ""颜色色差"", ""type_key"": ""color_deviation"", ""count"": 1, ""severity"": ""major""}, {""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 4, ""severity"": ""minor""}]",Pass,
RPT-2026-012,REQ-2026-012,FAC-ANSHENG,INS-001,2026-01-10,Adventure,SKU-AD-500ML,200,14,0,2,12,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 9, ""severity"": ""minor""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 5, ""severity"": ""minor""}]",Pass,
RPT-2026-013,REQ-2026-014,FAC-ANSHENG,INS-007,2026-03-14,Classic,SKU-CL-350ML,200,21,1,6,14,"[{""type"": ""外观划伤"", ""type_key"": ""surface_scratch"", ""count"": 15, ""severity"": ""minor""}, {""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 3, ""severity"": ""critical""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 1, ""severity"": ""major""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 2, ""severity"": ""major""}]",Fail,"Weld seam misalignment, full rework required"
RPT-2025-014,REQ-2025-015,FAC-ANSHENG,INS-002,2025-10-04,Classic,SKU-CL-750ML,125,8,0,1,7,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 5, ""severity"": ""major""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 3, ""severity"": ""minor""}]",Pass,
RPT-2025-015,REQ-2025-016,FAC-CAYI-CN,INS-001,2025-10-22,Aerolight,SKU-AL-700ML,200,6,0,2,4,"[{""type"": ""logo偏位"", ""type_key"": ""logo_misalignment"", ""count"": 4, ""severity"": ""minor""}, {""type"": ""功能异常"", ""type_key"": ""functional_failure"", ""count"": 1, ""severity"": ""minor""}, {""type"": ""真空泄漏"", ""type_key"": ""vacuum_leak"", ""count"": 1, ""severity"": ""major""}]",Pass,
RPT-2026-016,REQ-2026-017,FAC-ANSHENG,INS-001,2026-02-03,Aerolight,SKU-AL-700ML,200,15,0,3,12,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 8, ""severity"": ""major""}, {""type"": ""焊接不良"", ""type_key"": ""welding_defect"", ""count"": 7, ""severity"": ""major""}]",Conditional,Slight dimension deviation within tolerance
RPT-2025-017,REQ-2025-020,FAC-CAYI-VN,INS-005,2025-10-24,Iceflow,SKU-IF-750ML,200,3,0,1,2,"[{""type"": ""尺寸偏差"", ""type_key"": ""dimension_deviation"", ""count"": 1, ""severity"": ""major""}, {""type"": ""包装破损"", ""type_key"": ""packaging_damage"", ""count"": 2, ""severity"": ""minor""}]",Pass,
