request_id,factory_id,factory_name,product_line,sku,order_id,order_qty,customer_level,requested_date,shipment_deadline,priority,status,region
REQ-2025-001,FAC-CAYI-VN,CAYI Vietnam,Iceflow,SKU-IF-1L,PO-2025-9935,5000,A,2025-12-10,2025-12-20,Medium,Completed,Vietnam
REQ-2025-002,FAC-FLYCUP,FlyCup,Iceflow,SKU-IF-500ML,PO-2025-9928,15000,A,2025-10-24,2025-11-03,Medium,Completed,India
REQ-2025-003,FAC-GINT,GINT,Adventure,SKU-AD-750ML,PO-2025-3547,8000,C,2025-10-02,2025-10-21,Low,Completed,China
REQ-2026-004,FAC-LISI,LISI,Iceflow,SKU-IF-500ML,PO-2026-1711,30000,B,2026-01-06,2026-01-14,High,Completed,Vietnam
REQ-2026-005,FAC-YKPHX,YKPHX,Classic,SKU-CL-350ML,PO-2026-6925,20000,B,2026-01-05,2026-01-13,Medium,Completed,China
REQ-2026-006,FAC-GINT,GINT,Iceflow,SKU-IF-500ML,PO-2026-2654,15000,C,2026-03-19,2026-03-29,Low,Scheduled,China
REQ-2025-007,FAC-HAERS,HAERS,Adventure,SKU-AD-750ML,PO-2025-2169,20000,B,2025-11-11,2025-11-23,Medium,Completed,China
REQ-2025-008,FAC-ANSHENG,ANSHENG,Classic,SKU-CL-750ML,PO-2025-4598,30000,B,2025-12-02,2025-12-11,High,Completed,China
REQ-2025-009,FAC-LISI,LISI,Iceflow,SKU-IF-500ML,PO-2025-6155,8000,B,2025-10-09,2025-10-28,Medium,Completed,Vietnam
REQ-2025-010,FAC-YKPHX,YKPHX,Adventure,SKU-AD-750ML,PO-2025-8019,20000,A,2025-11-06,2025-11-17,Medium,Completed,China
REQ-2025-011,FAC-FLYCUP,FlyCup,Quencher,SKU-QC-600ML,PO-2025-3504,30000,B,2025-11-05,2025-11-20,Low,Completed,India
REQ-2026-012,FAC-ANSHENG,ANSHENG,Adventure,SKU-AD-500ML,PO-2026-1188,30000,B,2026-01-07,2026-01-20,Medium,Completed,China
REQ-2026-013,FAC-CAYI-VN,CAYI Vietnam,Classic,SKU-CL-500ML,PO-2026-5315,20000,A,2026-03-14,2026-03-26,High,Pending,Vietnam
REQ-2026-014,FAC-ANSHENG,ANSHENG,Classic,SKU-CL-350ML,PO-2026-7126,50000,C,2026-03-10,2026-03-21,Low,Scheduled,China
REQ-2025-015,FAC-ANSHENG,ANSHENG,Classic,SKU-CL-750ML,PO-2025-6038,8000,B,2025-10-01,2025-10-17,High,Completed,China
REQ-2025-016,FAC-CAYI-CN,CAYI China,Aerolight,SKU-AL-700ML,PO-2025-9727,50000,B,2025-10-21,2025-10-29,Medium,Completed,China
REQ-2026-017,FAC-ANSHENG,ANSHENG,Aerolight,SKU-AL-700ML,PO-2026-4470,20000,A,2026-01-30,2026-02-14,High,Completed,China
REQ-2026-018,FAC-GINT,GINT,Quencher,SKU-QC-900ML,PO-2026-5061,8000,B,2026-03-21,2026-04-07,Low,Pending,China
REQ-2026-019,FAC-CAYI-VN,CAYI Vietnam,Quencher,SKU-QC-600ML,PO-2026-1964,8000,A,2026-02-28,2026-03-15,High,Pending,Vietnam
REQ-2025-020,FAC-CAYI-VN,CAYI Vietnam,Iceflow,SKU-IF-750ML,PO-2025-3167,30000,A,2025-10-19,2025-11-03,Medium,Completed,Vietnam
REQ-2026-021,FAC-YKPHX,YKPHX,Aerolight,SKU-AL-500ML,PO-2026-7735,15000,A,2026-01-13,2026-01-23,Medium,Completed,China
REQ-2026-022,FAC-CAYI-CN,CAYI China,Iceflow,SKU-IF-500ML,PO-2026-4116,20000,B,2026-01-12,2026-01-30,Low,Completed,China
REQ-2025-023,FAC-YKPHX,YKPHX,Aerolight,SKU-AL-500ML,PO-2025-2604,5000,B,2025-11-16,2025-11-27,Low,Scheduled,China
REQ-2025-024,FAC-DLJM,DLJM,Iceflow,SKU-IF-500ML,PO-2025-1960,8000,B,2025-11-30,2025-12-09,High,Completed,India
REQ-2025-025,FAC-FLYCUP,FlyCup,Iceflow,SKU-IF-750ML,PO-2025-8973,8000,C,2025-12-07,2025-12-28,Low,Completed,India
